0	0.490967741935 0.515483870968 0.542795698925 0.522795698925 0.504516129032 0.482150537634 0.54 0.00438625334514 0.00187479524418 0.0061356312332 0.0052852497752 0.0059051742874 0.0109360706538
3	0.495268817204 0.511612903226 0.548172043011 0.536989247312 0.521075268817 0.49935483871 0.54 0.00595197957123 0.00125396814919 0.00639400806356 0.00762152479442 0.00728013371182 0.00731182795669
8	0.505161290323 0.515053763441 0.539784946237 0.540430107527 0.522795698925 0.501935483871 0.54 0.00582632997164 0.00612053740677 0.00641567049032 0.00800624106176 0.00515232195748 0.00393025094251
15	0.51247311828 0.524516129032 0.551612903226 0.551827956989 0.527956989247 0.504301075269 0.54 0.00702143127627 0.00688172043041 0.00729282793876 0.0070477288638 0.00522363776424 0.0125027456806
30	0.495698924731 0.508602150538 0.536774193548 0.555053763441 0.540860215054 0.521505376344 0.54 0.0033315985772 0.00862899038618 0.00368740391375 0.00368740391361 0.00846667513306 0.0086021505376
75	0.481935483871 0.485591397849 0.516989247312 0.544946236559 0.541075268817 0.52623655914 0.54 0.00266874702057 0.00308660217088 0.00866642652866 0.00730550010796 0.00905782352221 0.00931458401193
150	0.455268817204 0.47311827957 0.491612903226 0.522365591398 0.529032258065 0.516989247312 0.54 0.00752995329024 0.0055665286478 0.00758502885545 0.0068817204304 0.00706738783877 0.0091593718017
300	0.453978494624 0.464731182796 0.484946236559 0.515483870968 0.524086021505 0.52129032258 0.54 0.00463239983422 0.0057060211448 0.0045619792333 0.00388289679248 0.00323296696322 0.00628457599833
750	0.444516129032 0.457204301075 0.472688172043 0.498709677419 0.512043010753 0.515698924731 0.54 0.000526771988085 0.00283675396968 0.00579449186487 0.0061356312336 0.0061356312334 0.00459229172116
1500	0.44129032258 0.45440860215 0.471397849462 0.490107526882 0.505161290323 0.51311827957 0.54 0.00400023123396 0.00483751478656 0.00783102858321 0.00506176442834 0.00362415043998 0.00594420428421
