0	0.482150537635 0.509247311828 0.531827956989 0.511612903226 0.478279569892 0.452258064516 0.54 0.00538064344215 0.00454165851231 0.0087249302259 0.00930961755782 0.00477980876774 0.0160153701175 0 0.50 0 0.43
3	0.497634408602 0.508602150538 0.536774193548 0.520215053763 0.494623655914 0.464516129032 0.54 0.00643007156458 0.00471159189263 0.00866642652898 0.0125838613664 0.00577049800632 0.0123726020333 10000 0.50 10000 0.43
8	0.503870967742 0.515483870968 0.531182795699 0.528602150538 0.5 0.470322580645 0.54 0.00464237271934 0.00765180510709 0.00876195646805 0.00718421208118 0.00748065683023 0.0140131910176
15	0.512903225806 0.518709677419 0.544731182796 0.53376344086 0.509892473118 0.474623655914 0.54 0.00366223362715 0.00749918097802 0.00740609692799 0.0130918118324 0.0139271181578 0.016173415636
30	0.494193548387 0.501720430107 0.531612903226 0.543010752688 0.525806451613 0.497634408602 0.54 0.00363688914542 0.00285301057214 0.00643726002044 0.00669781139876 0.0100409613163 0.020098036976
75	0.481720430107 0.483225806452 0.507956989247 0.536559139785 0.524516129032 0.504301075269 0.54 0.00225550289924 0.00533749404122 0.00575444652064 0.00288524900342 0.00752380889676 0.00964151043933
150	0.454193548387 0.469247311828 0.484946236559 0.509462365591 0.509462365591 0.500860215054 0.54 0.00595197957144 0.00688843758179 0.00769399734193 0.0119814092707 0.00915937180171 0.00879882690106
300	0.452688172043 0.462580645161 0.476344086022 0.511827956989 0.512043010752 0.506451612903 0.54 0.00592862311918 0.00684803584019 0.00835671364637 0.00669781139889 0.00487560604243 0.00914926769303
750	0.441505376344 0.452903225806 0.469247311828 0.492043010753 0.503440860215 0.50623655914 0.54 0.00369992484621 0.00421417590137 0.00671849434505 0.011512910808 0.00528524977519 0.00617320434146
1500	0.444946236559 0.457849462365 0.472903225806 0.488817204301 0.492043010753 0.499569892473 0.54 0.00328969000858 0.00477980876774 0.00724191752298 0.0080350716956 0.00583426235095 0.00953539753856
